Date,Open,High,Low,Close
03-10-16,774.25,776.06,769.5,772.56
04-10-16,776.03,778.71,772.89,776.43
05-10-16,779.31,782.07,775.65,776.47
06-10-16,779,780.48,775.54,776.85
07-10-16,779.65,779.65,770.75,775.08
